CC_ID,WARN_LIGHT_IDENTIFIER,TITLE_ENUS,LONGTEXT_ENUS,TITLE_DEDE,LONGTEXT_DEDE,TITLE_ENGB,LONGTEXT_ENGB
0,V262,No entries.,-,Keine Einträge.,-,No entries.,-
1,,Maintain safe distance: Active Cruise Control.,Cruise Control: Maintain safe distance. Active Cruise Control temporarily deactivated. System deactivation due to current driving situation. Reactivate Active Cruise Control if desired when the driving situation allows. See Owner's Manual for more information.,Auf Abstand achten. Geschw.-Regelung.,Geschwindigkeitsregelung Auf Abstand achten. Aktive Geschwindigkeitsregelung temporär deaktiviert. Bei Bedarf und passender Fahrsituation Geschwindigkeitsregelung erneut aktivieren. Weitere Informationen siehe Betriebsanleitung.,Keep your distance. Cruise Control.,"Cruise Control Keep your distance. Active Cruise Control temporarily deactivated. Reactivate Active Cruise Control if desired, and if driving situation permits. See Owner's Handbook for further information."
2,V99,Active Cruise Control.,Active Cruise Control You can continue driving. Active Cruise Control deactivated. Maintain safe distance. Check sensor and clean if necessary. See Owner’s Manual for more information.,Akt. Geschwindigkeitsregelung.,Aktive Geschwindigkeitsregelung Weiterfahrt möglich. Aktive Geschwindigkeitsregelung deaktiviert. Auf Abstand achten. Sensor prüfen und bei Bedarf reinigen. Weitere Informationen siehe Betriebsanleitung.,Active Cruise Control.,Active Cruise Control You can continue driving. Active Cruise Control deactivated. Keep your distance. Check sensor and clean if necessary. See Owner's Handbook for further information.
3,V99,Active Cruise Control.,"Active Cruise Control You can continue driving. Active Cruise Control malfunction. Maintain safe distance. If the problem recurs, have it checked by your service center.",Akt. Geschwindigkeitsregelung.,Aktive Geschwindigkeitsregelung Weiterfahrt möglich. Aktive Geschwindigkeitsregelung ausgefallen. Auf Abstand achten. Bei wiederholtem Auftreten vom Service Partner prüfen lassen.,Active Cruise Control.,"Active Cruise Control You can continue driving. Active Cruise Control failure. Keep your distance. If the problem recurs, have it checked by your Service Partner."
4,V37,Trailer: Tail lamp malfunction.,-,Anhänger. Schlusslicht defekt.,-,Trailer rear light failure.,-
5,V37,Trailer: Tail lamp malfunction.,-,Anhänger. Schlusslicht defekt.,-,Trailer rear light failure.,-
6,V37,Trailer: Turn signal malfunction.,-,"Anhänger, Blinker defekt.",-,Trailer turn indicator failure.,-
7,V37,Trailer: Turn signal malfunction.,-,"Anhänger, Blinker defekt.",-,Trailer turn indicator failure.,-
49,V37,Trailer: Brake lamp malfunction.,-,Anhänger. Bremslicht defekt.,-,Trailer Brake light failure.,-
9,V37,Trailer: Fog lamp malfunction.,-,"Anhänger, Nebelschlusslicht defekt.",-,Trailer fog light failure.,-
10,V414,Continued driving possible: Chassis.,"Chassis You can continue driving. Chassis function restricted. If the problem recurs, have it checked by your service center.",Weiterfahrt möglich. Fahrwerk.,Fahrwerk Weiterfahrt möglich. Fahrwerkfunktion eingeschränkt. Bei wiederholtem Auftreten vom Service Partner prüfen lassen.,You can cont. driving. Chassis.,"Chassis You can continue driving. Chassis function restricted. If the problem recurs, have it checked by your Service Partner."
11,V338,Chassis: Stop carefully,Chassis: Stop carefully and turn off engine. Please call Roadside Assistance.,Fahrwerk. Vorsichtig anhalten,Fahrwerk Vorsichtig anhalten und Motor abstellen. BMW Pannenhilfe anrufen.,Chassis. Stop carefully,Chassis Stop carefully and switch off engine. Please call BMW Mobile Care.
12,V6,Cornering behavior reduced.,Dynamic Drive malfunction: Cornering behavior and driving comfort greatly reduced. Increased body roll when turning. Drive moderately. Have the problem checked by your service center.,Kurvenverhalten eingeschränkt.,Dynamic Drive ausgefallen Kurvenverhalten und Fahrkomfort stark eingeschränkt. Fahrzeug neigt sich stärker in Kurven. Gemäßigt fahren. Vom Service Partner prüfen lassen.,Cornering ability restricted.,Dynamic Drive failure Cornering and driving comfort severely restricted. Vehicle leans further when cornering. Drive moderately. Have the problem checked by your Service Partner.
13,V38,Key in ignition!,-,Funkschlüssel steckt!,-,Key still in ignition!,-
14,V33,Door open.,Symbol: Front right door open.,Tür offen.,Symbol: Tür vorn rechts offen.,Door open.,Symbol: Front right door open.
15,V34,Door open.,Symbol: Front left door open.,Tür offen.,Symbol: Tür vorn links offen.,Door open.,Symbol: Front left door open.
16,V36_a,Door open.,Symbol: Rear left door open.,Tür offen.,Symbol: Tür hinten links offen.,Door open.,Symbol: Rear left door open.
17,V35_a,Door open.,Symbol: Rear right door open.,Tür offen.,Symbol: Tür hinten rechts offen.,Door open.,Symbol: Rear right door open.
